Row ID,event_date ,user id,traffic_source,device type,product category,page_view,add_to_cart,checkout,purchase,order_value(INR)
1,26/04/2025,8994,Social,Tablet,Fashion,0,0,0,0,3499
2,18/06/2025,7065,Social,Tablet,Beauty,1,1,0,0,2499
3,18/11/2024,5184,,Tablet,Electronics,1,0,0,0,799
4,29/01/2025,5967,Social,Desktop,Electronics,1,,0,0,2499
5,07/04/2025,5593,Paid Ads,Tablet,,1,1,0,,1999
6,07/01/2025,6231,Organic,Mobile,Electronics,1,0,0,1,1299
7,30/05/2025,5321,Referral,,,1,,0,,0
8,21/04/2025,8319,Organic,Mobile,,1,0,0,0,0
9,19/01/2025,6630,Organic,,Sports,1,1,0,0,3499
10,11/06/2025,5794,Paid Ads,Tablet,Fashion,1,1,0,,0
11,22/05/2025,5548,Email,Tablet,Sports,1,1,0,1,2499
12,11/06/2025,5101,Email,Desktop,,1,1,,0,799
13,04/06/2025,7793,Email,Tablet,Electronics,1,0,0,0,
14,31/01/2025,7409,Paid Ads,Tablet,Beauty,0,,0,1,0
15,27/05/2025,8970,Referral,Desktop,Beauty,1,0,1,0,1999
16,24/12/2024,5807,Paid Ads,Desktop,Fashion,1,0,0,0,3499
17,26/02/2025,5255,Referral,Mobile,Fashion,1,0,1,1,1299
18,23/04/2025,7322,,Mobile,,1,0,0,0,0
19,03/04/2025,6174,Paid Ads,Desktop,,1,0,0,0,1299
20,19/03/2025,8388,Email,Mobile,,1,0,1,0,0
21,11/02/2025,7914,Organic,Mobile,Home & Kitchen,1,1,0,1,0
22,18/05/2025,5255,Organic,,Fashion,1,0,0,0,0
23,20/11/2024,7886,Email,,Beauty,1,0,0,0,1299
24,25/05/2025,7302,,Desktop,,1,0,0,1,0
25,18/11/2024,7506,Email,Mobile,Fashion,,1,1,0,1299
26,19/06/2025,6541,Social,Desktop,Sports,1,,0,0,1299
27,20/12/2024,7583,Organic,,,1,0,0,0,1999
28,06/06/2025,6348,Referral,Tablet,Fashion,1,,1,0,3499
29,26/06/2025,6241,Organic,Mobile,,1,1,0,0,1299
30,29/05/2025,6012,Organic,,,0,0,0,0,799
31,29/06/2025,8611,Referral,Tablet,Sports,1,,0,,3499
32,29/10/2024,6435,,Desktop,Home & Kitchen,1,0,0,0,3499
33,15/02/2025,5507,Email,,,1,0,0,0,1999
34,11/02/2025,7812,Organic,,,1,1,0,0,2499
35,24/05/2025,8719,Referral,Mobile,Beauty,1,0,1,0,799
36,27/01/2025,7595,Email,Tablet,Electronics,,0,0,0,
37,19/05/2025,6693,Social,,Electronics,1,0,,0,0
38,08/06/2025,6441,Email,Mobile,Home & Kitchen,1,,1,0,2499
39,07/05/2025,6732,,Tablet,Fashion,0,1,0,0,1299
40,31/01/2025,7362,,Mobile,Beauty,1,0,0,,0
41,10/03/2025,8416,Referral,,,1,0,1,0,
42,21/01/2025,6306,Paid Ads,Desktop,Beauty,1,0,0,1,3499
43,03/12/2024,7994,Paid Ads,Tablet,Home & Kitchen,1,1,0,0,
44,26/04/2025,6019,Social,,Beauty,1,1,1,0,1299
45,31/03/2025,5974,,,Beauty,1,1,0,1,0
46,30/01/2025,5649,Paid Ads,Desktop,Fashion,1,0,0,0,799
47,11/12/2024,6591,Paid Ads,Tablet,Home & Kitchen,1,,0,0,799
48,03/11/2024,6810,Organic,Tablet,,1,1,1,0,
49,09/10/2024,5450,Organic,Mobile,Sports,1,0,0,0,1999
50,28/11/2024,5068,,Desktop,Beauty,1,0,1,0,1999
51,12/01/2025,8699,Email,Tablet,Beauty,1,0,0,0,1299
52,04/02/2025,6074,Email,Desktop,,1,0,0,0,0
53,16/01/2025,8987,Referral,Mobile,Fashion,1,0,0,0,2499
54,04/12/2024,7450,,Desktop,,1,,0,1,
55,03/03/2025,7457,Email,Tablet,Sports,1,0,0,1,1999
56,09/05/2025,7416,Organic,Tablet,Beauty,1,1,,0,1299
57,25/04/2025,5022,Organic,Desktop,,1,0,0,0,799
58,06/10/2024,5870,Social,Desktop,Home & Kitchen,1,0,0,0,2499
59,21/03/2025,7675,Organic,Mobile,,1,0,1,0,1299
60,19/10/2024,6752,,Desktop,,1,0,0,0,3499
61,03/06/2025,7943,Email,Tablet,,1,1,0,0,0
62,12/06/2025,8386,Paid Ads,Mobile,Beauty,1,0,0,1,1299
63,10/02/2025,6209,,,Sports,1,1,1,1,799
64,12/03/2025,5298,Referral,Mobile,Beauty,,0,,0,0
65,20/11/2024,7913,Social,,,1,0,0,0,3499
66,22/02/2025,5649,Organic,Desktop,Home & Kitchen,1,1,1,0,0
67,16/05/2025,8513,Referral,,Fashion,1,0,,,1999
68,02/10/2024,6664,Social,Mobile,,1,0,1,0,3499
69,02/10/2024,8471,Social,Desktop,Fashion,1,1,0,0,3499
